ir_1,ir_2,ir_3,ir_4,gesture
48,142,0,127,3
32,106,0,102,3
40,127,0,121,3
24,102,0,112,3
50,134,0,142,3
61,216,0,208,3
39,170,0,167,3
0,138,78,237,3
59,145,0,118,3
0,69,38,124,3
0,149,69,252,3
0,118,78,211,3
34,98,0,108,3
32,119,0,147,3
43,148,0,138,3
57,173,0,154,3
50,146,0,131,3
49,145,0,130,3
59,166,0,157,3
26,124,0,129,3
50,148,0,143,3
35,118,0,113,3
42,130,0,123,3
49,141,0,126,3
35,114,0,112,3
47,128,0,108,3
37,118,0,106,3
11,102,0,110,3
235,138,85,248,3
0,236,51,257,3
0,313,102,353,3
0,285,30,276,3
0,141,65,166,3
0,240,0,333,3
0,125,89,229,3
0,171,126,354,3
0,188,0,0,3
0,168,108,363,3
0,154,81,288,3
0,176,231,379,3
3,223,0,335,3
58,251,0,319,3
736,636,0,724,3
44,136,0,156,3
20,130,0,163,3
0,116,48,191,3
2,167,0,202,3
125,207,0,148,3
104,171,0,122,3
112,290,0,190,3
113,323,0,258,3
102,239,0,203,3
80,309,0,185,3
50,162,0,119,3
87,228,0,169,3
78,223,0,181,3
98,210,0,149,3
94,182,0,151,3
